"OrderID","IncrementID","OrderTime","SKU","ReturnTime","CustomerID","CustomerIP","Size"
"446795","100401234","2019-07-13 09:43:27 +0200","169105278","","1142847","188.63.75.227","370"
"446796","100401235","2019-07-13 09:45:52 +0200","027182297","","788687","84.226.30.45","420"
"446797","100401236","2019-07-13 09:48:00 +0200","089145571","","","178.197.236.199","460"
"446798","100401237","2019-07-13 09:53:48 +0200","162122898","","","84.226.61.144","220"
"446799","100401238","2019-07-13 09:55:02 +0200","162122898","","","84.226.61.144","220"
"446800","100401239","2019-07-13 10:00:28 +0200","168100593","","","213.55.225.0","450"
"446801","100401240","2019-07-13 10:05:33 +0200","166111571","","430702","178.244.85.118","360"
"446801","100401240","2019-07-13 10:05:33 +0200","055132771","","430702","178.244.85.118","360"
"446802","100401241","2019-07-13 10:19:03 +0200","042177145","","1117314","31.10.152.78","400"
"446803","100401242","2019-07-13 10:26:21 +0200","171108076","","575686","178.39.216.174","390"
"446804","100401244","2019-07-13 10:49:07 +0200","011181871","","427705","77.56.107.154","330"
"446805","100401245","2019-07-13 10:59:33 +0200","021178928","","322409","80.218.176.156","420"
"446805","100401245","2019-07-13 10:59:33 +0200","021178928","","322409","80.218.176.156","430"
"446806","100401246","2019-07-13 11:07:08 +0200","050150346","","122641","185.33.226.148","410"
"446807","100401243","2019-07-13 11:15:05 +0200","022021821","","808962","178.196.253.204","430"
"446807","100401243","2019-07-13 11:15:05 +0200","022136921","","808962","178.196.253.204","430"
"446808","100401247","2019-07-13 11:48:02 +0200","088153876","","924947","178.197.236.163","380"
"446809","100401248","2019-07-13 11:52:48 +0200","175126198","","654711","176.127.159.250","280"
"446809","100401248","2019-07-13 11:52:48 +0200","175128898","","654711","176.127.159.250","280"
"446809","100401248","2019-07-13 11:52:48 +0200","014164198","","654711","176.127.159.250","280"
"446809","100401248","2019-07-13 11:52:48 +0200","014163994","","654711","176.127.159.250","280"
"446809","100401248","2019-07-13 11:52:48 +0200","014163794","","654711","176.127.159.250","280"
"446809","100401248","2019-07-13 11:52:48 +0200","176116491","","654711","176.127.159.250","270"
"446809","100401248","2019-07-13 11:52:48 +0200","011179876","","654711","176.127.159.250","280"
"446810","100401249","2019-07-13 11:54:50 +0200","022136921","","","62.202.182.236","480"
"446811","100401250","2019-07-13 11:55:09 +0200","062164442","","554969","178.198.17.2","380"
"446812","300040882","2019-07-13 11:59:29 +0200","008175176","","","85.2.137.185","300"
"446813","100401251","2019-07-13 12:08:06 +0200","087188993","","768745","94.16.132.69","413"
"446813","100401251","2019-07-13 12:08:06 +0200","035121775","","768745","94.16.132.69","400"
"446813","100401251","2019-07-13 12:08:06 +0200","148172778","","768745","94.16.132.69","400"
